VALVESIZE,FIGNO,LIFT,STMDIA,PITCH,LEAD,PACKLOAD,PORT DIA,HDWLDIA,VALFACT,MAX DP,VALMFG,WGT,Notes
4,1503,4.5,1,0.166666667,0.333333333,1000,4,10,0.3,285,1,110,
6,1503,6.75,1.125,0.2,0.4,1500,6,12,0.3,285,1,190,
8,1503,8.75,1.25,0.2,0.4,1500,8,14,0.3,285,1,310,
10,1503,11,1.375,0.25,0.5,1500,10,16,0.3,285,1,490,
12,1503,13,1.5,0.25,0.5,1500,12,20,0.3,285,1,700,
14,1503,14,1.625,0.25,0.5,2500,13.25,20,0.3,285,1,990,
16,1503,16.38,2,0.5,0.5,2500,15.25,26,0.3,285,1,1385,
18,1503,18.38,2.25,0.5,0.5,2500,17.25,26,0.3,285,1,1810,
20,1503,20.5,2.25,0.5,0.5,2500,19.25,26,0.3,285,1,2150,
24,1503,24.5,2.5,0.5,0.5,2500,23.25,30,0.3,285,1,3260,
30,1503,30.25,2.75,0.5,0.5,4000,29.25,36,0.3,285,1,5310,
36,1503,37.88,3.25,0.5,0.5,4000,36.25,36,0.3,285,1,,
3,1531,1.25,1,0.166666667,0.166666667,1000,3.1,9,1.1,285,1,80,
4,1531,1.625,1.125,0.2,0.2,1500,4.1,10,1.1,285,1,125,
6,1531,2.25,1.375,0.25,0.25,1500,6.14,12,1.1,285,1,211,
8,1531,2.5,1.5,0.2,0.2,1500,8.12,16,1.1,285,1,310,
10,1531,4,1.625,0.25,0.25,2500,10.14,18,1.1,285,1,480,
12,1531,3.75,2,0.333333333,0.333333333,2500,12.17,22,1.1,285,1,580,
3,3003,3.5,0.875,0.142857143,0.285714286,1000,3,9,0.3,740,1,110,
4,3003,4.5,1,0.166666667,0.333333333,1000,4,10,0.3,740,1,165,
6,3003,6.75,1.25,0.2,0.4,1500,6,14,0.3,740,1,320,
8,3003,8.75,1.375,0.25,0.5,1500,8,16,0.3,740,1,500,
10,3003,11,1.5,0.25,0.5,1500,10,20,0.3,740,1,800,
12,3003,13,1.625,0.25,0.5,2500,12,20,0.3,740,1,1230,
14,3003,14.125,2,0.25,0.5,2500,13.25,26,0.3,740,1,2085,
16,3003,16.38,2,0.25,0.5,2500,15.25,26,0.3,740,1,2725,
18,3003,19,2.125,0.25,0.5,2500,17,30,0.3,740,1,3790,
20,3003,20.75,2.25,0.25,0.5,2500,19,30,0.3,740,1,4230,
24,3003,24.625,3,0.25,0.5,4000,23,36,0.3,740,1,6850,
30,3003,30.625,3.25,0.25,0.5,4000,29,36,0.3,740,1,,
3,3031,1.5,1,0.166666667,0.166666667,1000,3.22,10,1.1,740,1,113,
4,3031,1.81,1.125,0.2,0.2,1500,4.12,13,1.1,740,1,173,
6,3031,2.5,1.5625,0.25,0.25,2500,6.17,18,1.1,740,1,325,
8,3031,3,2,0.25,0.25,2500,8.2,22,1.1,740,1,481,
10,3031,3.56,2.375,0.25,0.25,2500,10.23,26,1.1,740,1,686,
12,3031,4.25,2.375,0.25,0.25,2500,12.3,30,1.1,740,1,837,
36,3003,36.875,3.5,0.25,0.5,2500,35,,0.3,740,1,,
4,2456,4.125,0.9375,0.166666667,0.333333333,1000,3.88,9,0.3,275,1,,
6,2456,6.125,1,0.166666667,0.333333333,1000,6,11,0.3,275,1,,
8,2456,8.562,1.25,0.2,0.4,1500,8,14,0.3,275,1,,
10,2456,10.625,1.375,0.25,0.5,1500,10,16,0.3,275,1,,
12,2456,12.937,1.5,0.25,0.5,1500,11.875,18,0.3,275,1,,
40,1503,42.375,3.75,0.5,0.5,4000,40,,0.3,285,1,,
42,1503,44.5,3.75,0.5,0.5,4000,42,,0.3,285,1,,
4,4003,4.5,1.125,0.166666667,0.333333333,1500,4,14,0.3,990,1,,
6,4003,7,1.375,0.166666667,0.333333333,1500,6,22,0.3,990,1,,
8,4003,9.125,1.5,0.166666667,0.333333333,1500,8.125,22,0.3,990,1,,
10,4003,11.25,1.75,0.2,0.4,2500,10,26,0.3,990,1,,
12,4003,13.5,2,0.2,0.4,2500,12,30,0.3,990,1,,
14,4003,14.625,2,0.2,0.4,2500,13.1875,30,0.3,990,1,,
16,4003,17.25,2,0.2,0.4,2500,15.125,36,0.3,990,1,,
18,4003,18.5,2,0.5,0.5,2500,17,36,0.3,990,1,,
20,4003,,2.5,0.25,0.5,2500,17,36,0.3,990,1,,
24,4003,24.75,3,0.25,0.25,4000,24.688,,0.3,990,1,,
2,6003,2.875,0.875,0.142857143,0.285714286,1000,2,9,0.3,1480,1,110,
2.5,6003,3.125,0.9375,0.142857143,0.285714286,1000,2.625,10,0.3,1480,1,150,
3,6003,4,1,0.142857143,0.285714286,1000,3.125,12,0.3,1480,1,200,
4,6003,5,1.125,0.166666667,0.333333333,1000,4,14,0.3,1480,1,320,
6,6003,6.813,1.5,0.166666667,0.333333333,1000,6,22,0.3,1480,1,720,
8,6003,9.125,1.75,0.2,0.4,2500,8,22,0.3,1480,1,1070,
10,6003,11.25,1.875,0.25,0.5,2500,9.75,26,0.3,1480,1,1780,
12,6003,13.125,2,0.2,0.4,2500,11.75,30,0.3,1480,1,2260,
14,6003,14.125,2.25,0.2,0.4,2500,12.875,30,0.3,1480,1,3050,
16,6003,16.5,2.5,0.25,0.5,2500,14.75,36,0.3,1480,1,4350,
18,6003,18.625,2.5,0.25,0.5,2500,16.5,36,0.3,1480,1,5550,
20,6003,19,2.75,0.25,0.5,4000,18.25,36,0.3,1480,1,,
24,6003,22.75,3,0.25,0.5,4000,22,36,0.3,1480,1,,
3,9003,4.1875,1.125,0.166666667,0.333333333,1500,3,14,0.3,2220,1,280,
4,9003,4.75,1.25,0.166666667,0.333333333,1500,3.875,17,0.3,2220,1,450,
6,9003,6.8125,1.75,0.2,0.4,2500,5.75,22,0.3,2220,1,1050,
8,9003,9,2,0.2,0.4,2500,7.5,26,0.3,2220,1,1320,
10,9003,11,2.25,0.2,0.4,2500,9.5,30,0.3,2220,1,2340,
12,9003,12.5,2.5,0.25,0.5,2500,11.25,30,0.3,2220,1,3400,
14,9003,13.5,2.5,0.25,0.5,2500,12,30,0.3,2220,1,4250,
16,9003,16.25,2.5,0.25,0.5,2500,15.25,36,0.3,2220,1,4900,
18,9003,17.375,3,0.25,0.5,4000,15.75,36,0.3,2220,1,,
2,1303,2.5,1,0.142857143,0.285714286,1500,2,12,0.3,3705,1,225,
2.5,1303,3,1.125,0.166666667,0.333333333,1500,2.25,15,0.3,3705,1,350,
3,1303,3.625,1.25,0.166666667,0.333333333,1500,2.875,16,0.3,3705,1,460,
4,1303,5.5,1.375,0.166666667,0.333333333,1500,3.75,18,0.3,3705,1,670,
6,1303,7.5,1.75,0.2,0.4,2500,5.75,26,0.3,3705,1,1400,
8,1303,8.25,2.25,0.25,0.5,2500,7,30,0.3,3705,1,2500,
10,1303,10.125,2.75,0.25,0.5,4000,8.75,36,0.3,3705,1,5200,
12,1303,11.875,3,0.25,0.5,4000,10.375,36,0.3,3705,1,5500,
14,1531,5.25,2.375,0.25,0.25,2500,14.25,26,1.1,285,1,,
16,1531,4.75,2.5,0.25,0.25,2500,15.5,,1.1,285,1,,
18,1531,5.25,2.75,0.25,0.25,4000,17.5,,1.1,285,1,,
